0	1	2	3	4	5
HOAF_01.vhdr	723.55	237.40	520.55	335.10	723.55
HOAF_02.vhdr	723.55	235.45	520.55	301.58	723.55
HOAF_03.vhdr	723.55	249.78	520.55	305.18	723.55
HOAF_04.vhdr	723.55	207.15	520.55	281.97	723.55
HOAF_05.vhdr	723.55	258.00	520.55	274.88	723.55
HOAF_09.vhdr	723.55	199.20	520.55	252.68	723.55
HOAF_11.vhdr	723.55	234.48	520.55	316.09	723.55
HOAF_12.vhdr	723.55	192.50	520.55	313.67	723.55
HOAF_13.vhdr	723.55	215.23	520.55	606.63	723.55
HOAF_14.vhdr	723.55	186.99	520.55	322.77	723.55
HOAF_15.vhdr	723.55	199.86	520.55	300.37	723.55
HOAF_16.vhdr	723.55	234.28	520.55	350.92	723.55
HOAF_17.vhdr	723.55	202.80	520.55	310.07	723.55
HOAF_19.vhdr	723.55	202.85	520.55	352.99	723.55
HOAF_20.vhdr	723.55	181.54	520.55	287.37	723.55
HOAF_21.vhdr	723.55	205.65	520.55	279.77	723.55
HOAF_22.vhdr	723.55	174.16	520.55	264.35	723.55
HOAF_23.vhdr	723.55	221.87	520.55	304.24	723.55
HOAF_24.vhdr	723.55	203.68	520.55	258.06	723.55
HOAF_25.vhdr	723.55	248.22	520.55	346.79	723.55
HOAF_26.vhdr	723.55	200.33	520.55	332.19	723.55
HOAF_27.vhdr	723.55	219.70	520.55	301.80	723.55
HOAF_28.vhdr	723.55	217.80	520.55	325.69	723.55
HOAF_29.vhdr	723.55	328.73	520.55	446.17	723.55
